Date,Time,AI Chiller Cost,AI Chiller Energy(MJ),Legacy Chiller Cost,Legacy Chiller Energy(MJ),Visitors,Otemp,OHum,Legacy AHU RT,AI AHU RT,AI_AC-1,AI_AC-2,AI_AC-3,AI_AC-4,AI_ AC-5,AI_ AC-6,AI_LTC-1,AI_LTC-2,AI_LTC-3,AI_STC-1,AI_STC-2,AC-1,AC-2,AC-3,AC-4,AC-5,AC-6,LTC-1,LTC-2,LTC-3,STC-1,STC-2,AH-101A-RT,AH-101B-RT,AH-102A-RT,AH-102B-RT,AH-201A-RT,AH-201B-RT,AH-202A-RT,AH-202B-RT,AH-301-RT_X,AH-302-RT_X,AH-303A-RT,AH-303B-RT,AH-401A-RT,AH-401B-RT,AH-402A-RT,AH-402B-RT,AH-501A-RT,AH-501B-RT,AH-502A-RT,AH-502B-RT,AH-503A-RT,AH-503B-RT,AH-504A-RT,AH-504B-RT,AH-505A-RT,AH-505B-RT,AH-506-RT_X,AH-601A-RT,AH-601B-RT,AH-602A-RT,AH-602B-RT,AH-603A-RT,AH-603B-RT,AH-604A-RT,AH-604B-RT,AH-605A-RT,AH-605B-RT,AH-606-RT_X,AH-701A-RT,AH-701B-RT,AH-702A-RT,AH-702B-RT,AH-703A-RT,AH-703B-RT,AH-704A-RT,AH-704B-RT,AH-705A-RT,AH-705B-RT,AH-706-RT_X,AH-801A-RT,AH-801B-RT,AH-802A-RT,AH-802B-RT,AH-803A-RT,AH-803B-RT,AH-804-RT_X,AH-805-RT_X,AH-806-RT_X,AH-901-RT_X,AH-902-RT_X,AH-B01A--RT,AH-B01B--RT,AH-B02A--RT,AH-B02B--RT,AH-B03A--RT,AH-B03B--RT,AH-B04A--RT,AH-B04B--RT
2018.7.31,6:00,0.0,0.0,0.0,0.0,0.0,26.276290000000003,72.30356,27.42205411764706,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.74063,25.28988,26.391659999999998,28.912509999999997,27.554809999999996,29.91935,27.063409999999998,26.559929999999998,26.313229999999997,26.99533,26.597759999999997,28.31898,27.292509999999996,27.248540000000002,27.378,27.125790000000002,26.51815,27.18197,26.87405,27.088309999999996,25.87022,26.00825,27.726329999999997,27.01466,27.08176,27.43546,28.06908,28.599059999999998,28.756490000000003,26.735329999999998,26.64351,25.70849,25.81889,27.17142,27.61627,26.8729,27.41582,26.658040000000003,27.63393,27.418409999999998,27.75217,27.676109999999998,26.15128,26.2213,26.96,27.11505,27.587709999999998,28.195520000000002,26.92444,31.35802,31.66259,26.87841,26.683970000000002,26.01784,26.95481,27.26044000000001,29.046129999999998,24.96345,27.73889,27.996190000000002,26.677490000000002,28.740509999999997,29.288240000000002,27.3288,27.246809999999996,26.632509999999996,30.43302000000001,30.588859999999997
2018.7.31,6:30,0.0,0.0,322.92,0.0,0.0,26.114060000000002,71.50825,27.43516161764706,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.74063,25.28988,26.391659999999998,28.912509999999997,27.70342,29.91935,27.063409999999998,26.559929999999998,26.313229999999997,26.99533,26.597759999999997,28.31898,27.441190000000002,27.248540000000002,27.378,27.125790000000002,26.81532,27.18197,26.724990000000002,27.088309999999996,25.87022,26.00825,27.726329999999997,27.01466,27.23058,27.43546,28.06908,28.599059999999998,28.756490000000003,26.735329999999998,26.34572,25.70849,25.81889,27.3209,27.61627,26.8729,27.41582,26.80655,27.63393,27.418409999999998,27.75217,27.676109999999998,26.15128,26.2213,27.10871,27.11505,27.587709999999998,28.195520000000002,26.92444,31.35802,31.66259,26.87841,26.683970000000002,26.01784,26.805790000000002,27.26044000000001,29.046129999999998,24.96345,27.73889,28.14485,26.677490000000002,28.740509999999997,29.288240000000002,27.3288,27.246809999999996,26.632509999999996,30.43302000000001,30.7374
2018.7.31,7:00,0.0,0.0,10740.9529,0.0,0.0,26.43777,70.56509,27.454895588235292,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.74063,25.43863,26.391659999999998,28.912509999999997,27.70342,29.91935,27.211959999999998,26.559929999999998,26.313229999999997,27.144209999999998,26.597759999999997,28.31898,27.441190000000002,27.248540000000002,27.378,27.125790000000002,26.81532,27.18197,26.724990000000002,27.088309999999996,25.87022,26.00825,27.726329999999997,27.01466,27.23058,27.43546,28.21852,28.599059999999998,28.756490000000003,26.735329999999998,26.34572,25.70849,25.81889,27.46988,27.61627,26.8729,27.41582,26.80655,27.63393,27.418409999999998,27.75217,27.52743,26.15128,26.2213,27.10871,27.11505,27.587709999999998,28.195520000000002,27.07439,31.35802,31.66259,26.87841,26.683970000000002,26.01784,26.805790000000002,27.26044000000001,29.046129999999998,25.55949,27.73889,28.14485,26.677490000000002,28.740509999999997,29.288240000000002,27.3288,27.246809999999996,26.632509999999996,30.43302000000001,30.7374
2018.7.31,7:30,13962.0,2600.0,10723.11667,316.3,0.0,27.8004,65.99876,27.470358235294118,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,27.74063,25.43863,26.391659999999998,28.61508,27.70342,29.91935,27.211959999999998,26.559929999999998,26.313229999999997,27.144209999999998,26.448909999999998,28.31898,27.441190000000002,27.248540000000002,27.526709999999998,27.125790000000002,26.666490000000003,27.18197,26.724990000000002,27.088309999999996,25.87022,26.00825,27.726329999999997,27.01466,27.23058,27.43546,28.21852,28.599059999999998,28.756490000000003,26.735329999999998,26.34572,25.70849,25.81889,27.46988,27.76482,26.8729,27.41582,26.80655,27.63393,27.418409999999998,27.75217,27.52743,26.15128,26.2213,27.10871,27.11505,27.587709999999998,28.195520000000002,27.07439,31.35802,31.66259,26.87841,26.683970000000002,26.16723,26.805790000000002,27.26044000000001,29.046129999999998,26.610879999999998,27.73889,28.14485,26.677490000000002,28.740509999999997,29.43677000000001,27.3288,27.246809999999996,26.632509999999996,30.43302000000001,30.7374
2018.7.31,8:00,0.0,0.0,24102.97237,382.5,0.0,28.22832,65.20605,27.613658970588233,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.889129999999998,26.495440000000002,26.54097,28.465640000000004,27.70342,29.91935,27.36082,26.857779999999998,26.46173,27.144209999999998,26.448909999999998,28.31898,27.441190000000002,27.39726,27.526709999999998,27.125790000000002,27.41739,27.18197,27.02341,27.237209999999997,25.87022,26.307409999999997,27.726329999999997,27.1633,27.23058,27.584659999999996,28.367109999999997,28.599059999999998,28.756490000000003,27.183940000000003,27.24948,25.85752,25.81889,27.46988,27.76482,26.8729,27.41582,26.9556,27.783040000000003,27.567079999999997,27.75217,27.52743,26.15128,26.2213,27.10871,27.860870000000002,27.587709999999998,28.195520000000002,27.07439,31.20928,31.51347,26.87841,26.683970000000002,26.16723,26.954629999999998,27.26044000000001,29.046129999999998,28.87586,27.73889,28.14485,26.677490000000002,28.889090000000003,29.7347,27.477790000000002,27.395640000000004,26.781109999999998,30.581609999999998,30.7374
2018.7.31,8:30,64554.0,12600.0,163380.34271,6865.3,0.0,29.012990000000002,61.44163,27.761077058823528,0.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,28.03794000000001,27.999159999999996,26.839000000000002,28.465640000000004,27.70342,29.77082,27.509859999999996,27.0068,26.61037,27.293159999999997,26.29958,28.31898,27.441190000000002,27.39726,27.67673,27.2746,28.16597,27.33095,27.171909999999997,27.237209999999997,26.0197,26.9036,27.875009999999996,27.1633,27.23058,27.584659999999996,28.516209999999997,28.30042000000001,28.756490000000003,27.33265,27.84695,25.85752,25.81889,27.767870000000002,27.61614,27.02153,27.41582,26.9556,28.081020000000002,27.86587,27.90075,27.676579999999998,26.29993,26.2213,27.10871,28.15895,27.587709999999998,28.195520000000002,27.07439,31.20928,31.51347,26.87841,27.133129999999998,26.16723,27.401559999999996,27.26044000000001,28.89738,30.83333,27.73889,28.14485,26.677490000000002,28.889090000000003,29.7347,27.477790000000002,27.544829999999997,26.781109999999998,31.02864000000001,30.7374
2018.7.31,9:00,72002.0,7400.0,208399.046338,15867.7,0.0,29.917920000000002,57.3606,27.88842735294118,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,28.18683,28.74633,26.839000000000002,28.465640000000004,27.852090000000004,29.77082,27.509859999999996,27.15571,26.75971,27.293159999999997,26.29958,28.31898,27.589959999999998,27.54587,27.825429999999997,27.423270000000002,28.46352000000001,27.47965,27.320759999999996,27.38578,26.0197,27.49984000000001,27.875009999999996,27.312079999999998,27.23058,27.73351,28.516209999999997,28.30042000000001,28.756490000000003,27.48133,28.293429999999997,26.15482,25.96806,27.9167,27.61614,27.17006,27.41582,27.10419000000001,28.23013,28.0146,27.90075,27.676579999999998,26.29993,26.2213,27.10871,28.456840000000003,27.587709999999998,28.195520000000002,27.07439,31.20928,31.364929999999998,26.87841,27.73051,26.16723,28.14828,27.26044000000001,28.89738,32.34158,27.73889,28.14485,26.677490000000002,29.03772,29.7347,27.477790000000002,27.396240000000002,26.92972,31.17742,30.7374
2018.7.31,9:30,482226.0,47700.0,222264.143815,17281.9,0.0,29.58591,58.62454,25.08985602941176,0.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,23.67312,22.47641,22.98689,22.68712,26.36873,28.19179,26.18456,26.054389999999998,25.64862,26.3532,25.67986,26.036170000000002,25.79441,26.27145,26.23118,25.93195,26.85718,25.79138,26.511709999999997,26.42982,25.71275,26.72056,27.395590000000002,26.677979999999998,26.902309999999996,26.58488,27.245690000000003,23.53056,23.672639999999998,23.3078,23.32611,24.48807,23.82985,23.81203,24.10139,23.34488,23.59751,24.511770000000002,23.2526,23.57939,23.878510000000002,23.95723,24.13401,23.595760000000002,23.848489999999998,23.87193,24.17441,24.41131,24.92582,23.45443,25.5387,25.04797,24.34517,24.18207,25.20329,23.85505,26.15146,25.63051,25.61236,26.47389,25.158179999999998,25.27155,24.429489999999998,23.92539,24.46743,23.6879,31.32682,27.79678
2018.7.31,10:00,0.0,0.0,329812.88799,17646.6,0.0,30.44685,55.83973,23.83789676470588,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,22.773310000000002,22.47641,22.83774,22.83634,23.10367,23.4625,23.09479,23.464010000000002,22.991120000000002,23.30869,23.37717,23.412029999999998,22.82094,23.34852,23.42952,23.150760000000002,23.74005,23.47498,23.756339999999998,23.49548,23.289460000000002,23.63795,23.90391,23.62821,24.14901,23.99991,25.11084,23.22919,23.22624,23.3078,23.02439,23.73949,23.68035,23.06533,23.35445,23.19507,23.446479999999998,23.91537000000001,23.10153,23.57939,23.42843,23.35489,23.38352,23.297620000000002,23.09534,23.42237,23.57348,23.95892000000001,24.47643,23.30591,24.48912,24.15069,23.59583,23.28225,24.453229999999998,23.55704,25.40333,29.696070000000002,24.86399,25.57374,24.2579,24.37248,23.83241,23.32886,23.57157,22.93752000000001,31.32682,27.048479999999998
2018.7.31,10:30,79432.5,6375.0,324641.40306,18634.1,0.0,32.31749,50.63525,23.599777499999995,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,22.77201,22.47641,22.83774,22.83634,23.10367,23.31362,23.09479,23.464010000000002,22.991120000000002,23.30869,23.37717,23.412029999999998,22.82094,23.34852,23.42952,23.150760000000002,23.74005,23.47498,23.30927,23.048370000000002,22.99109,23.34064,23.30622,23.47689,23.55271,23.850479999999997,24.3622,23.22919,23.22624,23.3078,23.17312,23.73949,23.68035,23.06533,23.20544,23.34436,23.446479999999998,23.61582000000001,23.10153,23.57939,23.27981,23.20589,23.38352,23.297620000000002,22.64666,23.27311,23.72235,23.95892000000001,24.17738,23.00777,23.89382,23.7032,23.1471,22.83345,24.00548,23.40847,25.104789999999998,24.84722,24.56552000000001,25.27439,23.66246,24.07461,23.53509,23.03075,23.27228,22.6399,31.32682,26.601709999999997
